N,Versao,T,mean,std
100000,v1 (Sequencial),1,0.47640000000000005,0.01156719499273699
100000,v2 (SIMD),1,0.5538,0.06048718872620883
100000,v3 (OMP+SIMD),1,0.8648,0.30813584666507077
100000,v3 (OMP+SIMD),2,3.3388,2.470249521809487
100000,v3 (OMP+SIMD),4,1.2108,1.4965833421497112
100000,v3 (OMP+SIMD),8,3.1866,2.1585968359098464
100000,v3 (OMP+SIMD),16,2.202,0.7428546291166261
500000,v1 (Sequencial),1,3.0656000000000003,0.3861745719231135
500000,v2 (SIMD),1,3.2632,0.48221851893099255
500000,v3 (OMP+SIMD),1,4.4772,0.6265442522280448
500000,v3 (OMP+SIMD),2,4.4234,4.354813004022102
500000,v3 (OMP+SIMD),4,2.2992,1.5063162682517905
500000,v3 (OMP+SIMD),8,2.3558,3.6039523026810443
500000,v3 (OMP+SIMD),16,5.4886,0.8597748542496462
1000000,v1 (Sequencial),1,7.6872,4.8304289354052194
1000000,v2 (SIMD),1,9.3318,5.75606434119703
1000000,v3 (OMP+SIMD),1,9.0478,2.689929311338869
1000000,v3 (OMP+SIMD),2,7.938399999999999,2.481728591123533
1000000,v3 (OMP+SIMD),4,3.9314,1.65201946114445
1000000,v3 (OMP+SIMD),8,3.778,3.1914121482503637
1000000,v3 (OMP+SIMD),16,6.854400000000001,2.537105003739499
