N,T,execucao,tempo
100000,1,1,0.000081
100000,2,1,0.000310
100000,4,1,0.000032
100000,8,1,0.000018
100000,16,1,0.003493
100000,1,2,0.000155
100000,2,2,0.000463
100000,4,2,0.000042
100000,8,2,0.000014
100000,16,2,0.003884
100000,1,3,0.000090
100000,2,3,0.000108
100000,4,3,0.000302
100000,8,3,0.000084
100000,16,3,0.004033
100000,1,4,0.000073
100000,2,4,0.000044
100000,4,4,0.000038
100000,8,4,0.000013
100000,16,4,0.004525
100000,1,5,0.000108
100000,2,5,0.000043
100000,4,5,0.000037
100000,8,5,0.000013
100000,16,5,0.001966
500000,1,1,0.000809
500000,2,1,0.000569
500000,4,1,0.000358
500000,8,1,0.007956
500000,16,1,0.003142
500000,1,2,0.000798
500000,2,2,0.004466
500000,4,2,0.006764
500000,8,2,0.000303
500000,16,2,0.007603
500000,1,3,0.000564
500000,2,3,0.004674
500000,4,3,0.000421
500000,8,3,0.000255
500000,16,3,0.003316
500000,1,4,0.000698
500000,2,4,0.004526
500000,4,4,0.004321
500000,8,4,0.007975
500000,16,4,0.005583
500000,1,5,0.000606
500000,2,5,0.004587
500000,4,5,0.001063
500000,8,5,0.000212
500000,16,5,0.003771
1000000,1,1,0.001322
1000000,2,1,0.003531
1000000,4,1,0.005471
1000000,8,1,0.000698
1000000,16,1,0.008198
1000000,1,2,0.001587
1000000,2,2,0.004821
1000000,4,2,0.004621
1000000,8,2,0.000847
1000000,16,2,0.003393
1000000,1,3,0.001731
1000000,2,3,0.005001
1000000,4,3,0.000938
1000000,8,3,0.007926
1000000,16,3,0.004965
1000000,1,4,0.001809
1000000,2,4,0.004047
1000000,4,4,0.002989
1000000,8,4,0.004384
1000000,16,4,0.008398
1000000,1,5,0.001586
1000000,2,5,0.004845
1000000,4,5,0.001105
1000000,8,5,0.007964
1000000,16,5,0.006043
