N,T,execucao,tempo
100000,1,1,0.000214
100000,2,1,0.000124
100000,4,1,0.004099
100000,8,1,0.000044
100000,16,1,0.000678
100000,1,2,0.000210
100000,2,2,0.000116
100000,4,2,0.004076
100000,8,2,0.000063
100000,16,2,0.000488
100000,1,3,0.000220
100000,2,3,0.000112
100000,4,3,0.004084
100000,8,3,0.000044
100000,16,3,0.000456
100000,1,4,0.000211
100000,2,4,0.004125
100000,4,4,0.000080
100000,8,4,0.004070
100000,16,4,0.000455
100000,1,5,0.000209
100000,2,5,0.004129
100000,4,5,0.000069
100000,8,5,0.000066
100000,16,5,0.000689
500000,1,1,0.001049
500000,2,1,0.000465
500000,4,1,0.000292
500000,8,1,0.000239
500000,16,1,0.000627
500000,1,2,0.001056
500000,2,2,0.000497
500000,4,2,0.000268
500000,8,2,0.000191
500000,16,2,0.000696
500000,1,3,0.001048
500000,2,3,0.000472
500000,4,3,0.000275
500000,8,3,0.000207
500000,16,3,0.004603
500000,1,4,0.001047
500000,2,4,0.000479
500000,4,4,0.000376
500000,8,4,0.000185
500000,16,4,0.000628
500000,1,5,0.001113
500000,2,5,0.000575
500000,4,5,0.004828
500000,8,5,0.000190
500000,16,5,0.000750
1000000,1,1,0.002277
1000000,2,1,0.004658
1000000,4,1,0.000449
1000000,8,1,0.000535
1000000,16,1,0.000815
1000000,1,2,0.001729
1000000,2,2,0.000859
1000000,4,2,0.000547
1000000,8,2,0.004230
1000000,16,2,0.000831
1000000,1,3,0.002013
1000000,2,3,0.004723
1000000,4,3,0.000494
1000000,8,3,0.004170
1000000,16,3,0.000838
1000000,1,4,0.002097
1000000,2,4,0.004698
1000000,4,4,0.000769
1000000,8,4,0.000399
1000000,16,4,0.000865
1000000,1,5,0.002112
1000000,2,5,0.000856
1000000,4,5,0.000775
1000000,8,5,0.004199
1000000,16,5,0.000898
